microservice,type,parameter,categorical,discrete,float,range,step,default
service,resource,resource,,1,,1;50,1,2
service,resource,replicas,,1,,1;3,1,1
nginx,nginx,worker_processes,,1,,1;48,1,4
nginx,nginx,threads,,1,,1;48,1,4
nginx,nginx,worker_connections,,1,,32;4096,128,128
redis,write,hz,,1,,1;100,10,10
redis,write,maxmemory,,1,,100;10000,100,500
redis,write,maxmemory-policy,1,,,volatile-lru;allkeys-lru;volatile-lfu;allkeys-lfu;volatile-random;allkeys-random;volatile-ttl;noeviction,1,noeviction
redis,read,maxmemory,,1,,100;10000,100,500
redis,read,maxclients,,1,,5000;100000,1000,10000
redis,read,maxmemory-samples,,1,,3;20,1,5
mongodb,write,serviceExecutor,1,,,synchronous;adaptive,1,synchronous
mongodb,write,cacheSizeGB,,,1,0.5;4,0.2,0.5
mongodb,write,syncPeriodSecs,,1,,10;100,10,60
mongodb,read,serviceExecutor,1,,,synchronous;adaptive,1,synchronous
mongodb,read,cacheSizeGB,,,1,0.5;4,0.2,0.5
mongodb,read,replWriterThreadCount,,1,,8;32,2,8
memcached,write,m,,1,,256;1024,32,128
memcached,write,n,,1,,64;1024,32,128
memcached,write,f,,,1,1.1;10,0.5,2
memcached,read,m,,1,,256;1024,32,128
memcached,read,n,,1,,64;1024,32,128
memcached,read,f,,1,,1;32,2,4
