microservice,type,parameter,categorical,discrete,float,range,step,default
compose-post-service,service,io_threads,,1,,1;48,4,4
compose-post-service,service,worker_threads,,1,,24;960,48,48
compose-post-service,resource,resource,,1,,1;5,1,1
compose-post-service,resource,replicas,,1,,1;3,1,1
url-shorten-service,service,io_threads,,1,,1;48,4,4
url-shorten-service,service,worker_threads,,1,,24;960,48,48
url-shorten-service,resource,resource,,1,,1;5,1,1
url-shorten-service,resource,replicas,,1,,1;3,1,1
compose-post-redis,redis,redis_tcp_keepalive,,1,,100;500,30,300
compose-post-redis,redis,repl-diskless-sync-delay,,1,,1;10,1,5
compose-post-redis,redis,maxmemory,,1,,100;10000,100,500
compose-post-redis,redis,maxmemory-policy,1,,,volatile-lru;allkeys-lru;volatile-lfu;allkeys-lfu;volatile-random;allkeys-random;volatile-ttl;noeviction,1,noeviction
compose-post-redis,redis,maxmemory-samples,,1,,3;20,1,5
compose-post-redis,redis,maxclients,,1,,5000;100000,1000,10000
compose-post-redis,redis,tcp-backlog,,1,,100;10000,100,511
compose-post-redis,redis,list-max-ziplist-size,,1,,1;5,1,2
compose-post-redis,redis,hash-max-ziplist-entries,,1,,256;1024,64,512
compose-post-redis,redis,hash-max-ziplist-value,,1,,256;1024,64,512
compose-post-redis,redis,list-compress-depth,,1,,0;3,10,0
compose-post-redis,redis,set-max-intset-entries,,1,,256;1024,64,512
compose-post-redis,redis,zset-max-ziplist-entries,,1,,128;1024,64,128
compose-post-redis,redis,zset-max-ziplist-value,,1,,64;1024,64,64
compose-post-redis,redis,hll-sparse-max-bytes,,1,,1000;10000,1000,3000
compose-post-redis,redis,hz,,1,,10;100,10,100
compose-post-redis,redis,active-defrag-ignore-bytes,,1,,50;500,100,100
compose-post-redis,redis,lua-time-limit,,1,,1000;10000,1000,5000
compose-post-redis,resource,resource,,1,,1;5,1,1
compose-post-redis,resource,replicas,,1,,1;3,1,1
post-storage-mongodb,mongodb,journalCommitInterval,,1,,10;500,25,200
post-storage-mongodb,mongodb,syncPeriodSecs,,1,,10;100,10,60
post-storage-mongodb,mongodb,cacheSizeGB,,,1,0.5;4,0.2,0.5
post-storage-mongodb,mongodb,journalCompressor,1,,,none;snappy;zlib;zstd,1,snappy
post-storage-mongodb,mongodb,blockCompressor,1,,,none;snappy;zlib;zstd,1,snappy
post-storage-mongodb,mongodb,connPoolMaxConnsPerHost,,1,,100;1000,50,200
post-storage-mongodb,mongodb,connPoolMaxInUseConnsPerHost,,1,,100;1000,50,200
post-storage-mongodb,mongodb,maxNumActiveUserIndexBuilds,,1,,1;10,1,3
post-storage-mongodb,mongodb,tcmallocReleaseRate,,,1,1;10,0.5,1.0
post-storage-mongodb,mongodb,maxSessions,,1,,10000;1000000,10000,1000000
post-storage-mongodb,mongodb,TransactionRecordMinimumLifetimeMinutes,,1,,5;60,5,5
post-storage-mongodb,mongodb,flowControlTargetLagSeconds,,1,,1;10,1,10
post-storage-mongodb,mongodb,oplogInitialFindMaxSeconds,,1,,30;300,10,60
post-storage-mongodb,mongodb,replWriterThreadCount,,1,,8;32,2,16
post-storage-mongodb,mongodb,wiredTigerConcurrentReadTransactions,,1,,64;1024,32,64
post-storage-mongodb,mongodb,wiredTigerConcurrentWriteTransactions,,1,,64;1024,32,64
post-storage-mongodb,mongodb,maxIncomingConnections,,1,,100;1024,32,200
post-storage-mongodb,mongodb,netCompressors,1,,,snappy;zlib;zstd,1,snappy
post-storage-mongodb,mongodb,serviceExecutor,1,,,synchronous;adaptive,1,synchronous
post-storage-mongodb,mongodb,maxTransactionLockRequestTimeoutMillis,,1,,10;100,10,10
post-storage-mongodb,resource,resource,,1,,1;5,1,1
post-storage-mongodb,resource,replicas,,1,,1;3,1,1
user-mention-service,service,io_threads,,1,,1;48,4,4
