microservice,type,parameter,categorical,discrete,float,range,step,default
compose-post-service,resource,resource,,1,,1;10,1,1
compose-post-service,resource,replicas,,1,,1;3,1,1
url-shorten-service,resource,resource,,1,,1;10,1,1
url-shorten-service,resource,replicas,,1,,1;3,1,1
compose-post-redis,redis,hz,,1,,10;100,10,100
compose-post-redis,redis,maxmemory,,1,,100;10000,100,500
compose-post-redis,redis,maxmemory-policy,1,,,volatile-lru;allkeys-lru;volatile-lfu;allkeys-lfu;volatile-random;allkeys-random;volatile-ttl;noeviction,1,noeviction
compose-post-redis,resource,resource,,1,,1;10,1,1
compose-post-redis,resource,replicas,,1,,1;3,1,1
post-storage-mongodb,mongodb,serviceExecutor,1,,,synchronous;adaptive,1,synchronous
post-storage-mongodb,mongodb,cacheSizeGB,,,1,0.5;4,0.2,0.5
post-storage-mongodb,mongodb,syncPeriodSecs,,1,,10;100,10,60
post-storage-mongodb,resource,resource,,1,,1;10,1,1
post-storage-mongodb,resource,replicas,,1,,1;3,1,1
user-mention-service,resource,resource,,1,,1;10,1,1
user-mention-service,resource,replicas,,1,,1;3,1,1
text-service,resource,resource,,1,,1;10,1,1
text-service,resource,replicas,,1,,1;3,1,1
nginx-web-server,nginx,worker_processes,,1,,1;48,1,4
nginx-web-server,nginx,threads,,1,,1;48,1,4
nginx-web-server,nginx,worker_connections,,1,,32;4096,128,128
nginx-web-server,resource,resource,,1,,1;10,1,1
nginx-web-server,resource,replicas,,1,,1;1,1,1
user-timeline-service,resource,resource,,1,,1;10,1,1
user-timeline-service,resource,replicas,,1,,1;3,1,1
post-storage-memcached,memcached,m,,1,,256;1024,32,128
post-storage-memcached,memcached,n,,1,,64;1024,32,128
post-storage-memcached,memcached,f,,,1,1.1;10,0.5,2
post-storage-memcached,resource,resource,,1,,1;10,1,1
post-storage-memcached,resource,replicas,,1,,1;3,1,1
