traceId,traceLatency,media-service_UploadMedia_1,compose-post-service_UploadMedia_2,user-service_UploadUserWithUserId_3,compose-post-service_UploadCreator_4,post-storage-service_StorePost_5,post-storage-service_MongoInsertPost_6,nginx-web-server_/wrk2-api/post/compose_7,nginx-web-server_/wrk2-api/post/compose_8,nginx-web-server_ComposePost_9,unique-id-service_UploadUniqueId_10,text-service_UploadText_11,compose-post-service_UploadUniqueId_12,url-shorten-service_UploadUrls_13,user-mention-service_UploadUserMentions_14,compose-post-service_UploadText_15,compose-post-service_RedisHashSet_16,compose-post-service_RedisHashSet_17,compose-post-service_RedisHashSet_18,compose-post-service_UploadUrls_19,compose-post-service_UploadUserMentions_20,compose-post-service_RedisHashSet_21,compose-post-service_RedisHashSet_22,compose-post-service_RedisHashSet_23,user-timeline-service_WriteUserTimeline_24,user-timeline-service_MongoInsert_25,user-timeline-service_RedisUpdate_26
9e42fc07c1b3a578,80161,1669,1054,1719,983,966,872,80161,80095,79897,1556,78703,887,1219,74079,75523,1008,942,851,466,72061,418,72020,71905,1756,1096,588
55a765dbef22ff75,122440,17552,16581,17170,15572,726,680,122440,121886,121668,17608,120380,1502,16584,16332,101837,16542,15529,1473,1319,1216,1280,1186,98236,1815,1091,614
60db13e9a8528dde,9406,1392,731,1405,751,679,623,9406,8982,8752,1163,7233,643,1335,2410,3788,690,705,614,641,540,590,509,578,1963,1302,586
6555785746d1ee36,84955,79236,1034,78757,76728,563,507,84955,84531,84349,78939,82544,895,77646,77602,2873,949,76681,822,75245,1011,75194,981,462,1069,664,348
87eea7aebae6ed75,101130,1815,1007,1288,645,502,446,101130,100554,100401,1347,99435,768,93637,94276,3507,955,598,726,92826,885,92783,854,490,1623,1030,498
cb309046e7661a46,9501,1290,706,1365,764,697,642,9501,8925,8690,1299,7492,695,1289,2529,3418,661,721,659,455,724,410,690,480,1643,965,605
9d10117b356926ae,57013,1608,853,1601,973,744,685,57013,56274,56056,49543,54972,971,49038,49467,3833,796,923,886,48226,47401,48156,47358,483,1929,1296,548
12bfb54cd1134bdb,100025,1811,989,1852,1214,857,799,100025,99411,99195,1407,97325,786,1337,2670,93988,945,1168,756,724,558,673,519,508,1756,1147,538
ec91fe9e200afaa0,83200,1628,853,1538,866,846,784,83200,82920,82692,1451,81313,669,1349,2737,77904,799,834,628,557,466,505,436,436,1786,1042,671
032fe043126bc6f2,22023,15394,14407,14904,14173,591,534,22023,21551,21298,13864,19429,13176,13620,13566,3905,14364,14113,13133,12910,11366,12865,11320,654,1698,1021,585
fd85aab27392b44d,43609,1847,1173,1495,821,742,680,43609,42971,42769,1582,41552,896,1263,2414,38185,1109,776,858,577,556,520,457,521,1754,1038,634
79aef9a380558037,54680,1786,1095,1625,874,781,724,54680,54348,54138,1384,52923,757,47286,47446,3497,1055,833,721,46448,45374,46386,45349,508,1767,1043,630
13a8744eae903fc4,9029,1523,896,1681,981,757,698,9029,8087,7895,1655,6643,869,1353,2580,3365,845,938,830,698,559,654,525,463,1635,1008,540
fce9e2b3634da7aa,10052,1680,923,1471,718,844,785,10052,9333,9109,1436,7820,732,1639,2659,3989,825,676,706,525,668,481,633,569,1849,1082,688
2a14215bf8d8c8ed,9485,1346,765,1387,726,773,715,9485,8908,8693,1288,7439,737,1292,2576,4053,703,682,667,559,645,517,608,485,1911,1173,649
a812d70dc65fbc5f,36755,1614,883,29462,720,884,808,36755,36687,36436,29580,34426,28877,28864,28879,3566,844,690,28829,828,727,776,685,693,1510,928,501
28a56e862a992aef,8945,1604,835,1547,849,707,649,8945,8353,8216,1512,6844,788,1372,2392,3642,775,809,754,468,493,411,460,539,1816,1094,650
84fe5b3a74f9bdf8,8486,1774,980,1677,926,680,623,8486,8115,7908,1348,6778,763,1256,2532,3593,945,827,726,550,425,506,386,463,1720,1033,604
2b3aa5f80397960a,96035,88792,88032,88736,87994,625,571,96035,95619,95411,88729,94113,87846,88371,88133,3835,87976,87915,87802,87501,86186,87448,86147,750,1616,994,540
2df35c1a19f2c744,60314,1575,844,1594,884,761,708,60314,59449,59224,1322,57978,772,1415,53027,54630,804,852,730,753,50745,691,50706,51246,1849,1211,553
09a3bb897cb296b3,70353,62069,61284,61920,61181,686,639,70353,69518,69348,61839,67845,61059,62222,61772,3622,61244,61089,61015,61386,59147,61270,59108,671,1651,1083,469
97eb6bfd021a3923,17155,10688,9925,10647,10007,813,756,17155,16571,16365,10834,15169,781,9710,9602,3535,9883,9935,748,8847,7645,8792,7605,635,1590,933,575
36fe7ca5cea0ab46,100783,1321,777,1514,789,753,694,100783,99792,99584,1329,98346,692,1255,2344,94773,734,748,655,539,412,498,374,571,1380,881,420
904d2dc5967d08b1,9364,2840,2228,2773,1965,849,791,9364,9019,8805,2808,7504,1906,1633,2737,3610,893,648,633,870,500,640,461,530,1639,1077,481
d7764c211e0d0890,85720,1654,870,1021,470,717,628,85720,84831,84606,1123,82816,538,1235,2405,79232,826,439,504,558,527,513,491,574,1923,1173,654
