task,latency,resource,observation,reward,cost,workload,conf
0,7.803,75.0,0.96;0.1;0.45;1.0;0.02;0.15;0.0;0.8;0.03;4.28;6.97;0.86;3.83;6.29;6.22;1.44;6.29;0.49;75.0;10;7.803,1.0,0,10,3;3;3;3;100;500;7;3;3;0;0.5;60;3;3;3;3;3;3;4;4;128;3;1;3;3;128;128;2.0;3;3
1,7.715,62.0,1.26;0.25;0.64;1.86;0.18;0.5;1.0;0.78;0.02;5.78;8.76;0.81;9.66;5.59;6.31;1.43;5.85;0.57;62.0;10;7.715,10.1,0,10,4;2;2;3;100;400;6;3;3;0;0.5;60;2;2;4;3;3;3;5;3;256;4;1;2;2;256;160;1.5;2;3
2,7.447,69.0,1.01;0.19;0.63;1.39;0.15;0.36;0.57;0.82;0.02;4.77;8.8;0.94;16.06;4.92;5.07;1.21;7.87;0.56;69.0;10;7.447,1.0,0,10,4;3;3;3;100;300;5;3;3;1;0.5;70;2;1;4;3;2;3;4;4;384;4;1;3;2;256;160;1.1;3;3
3,7.627,67.0,0.82;0.15;0.4;4.4;0.26;0.28;0.66;0.57;0.02;5.65;6.14;0.95;8.46;3.97;7.87;1.25;7.26;0.42;67.0;10;7.627,1.9,0,10,3;3;4;3;100;300;6;3;3;2;0.7;80;3;1;4;2;3;3;3;3;256;3;1;2;1;256;160;1.1;4;3
4,7.835,63.0,1.3;0.26;0.62;3.69;0.41;0.46;0.7;0.82;0.02;5.88;5.27;0.88;7.58;4.19;7.89;1.18;9.4;0.42;63.0;10;7.835,3.3,0,10,4;2;4;3;100;300;5;4;3;1;0.9;80;2;1;3;2;2;3;2;4;384;4;1;2;2;256;192;1.1;3;3
5,7.331,39.0,2.09;0.27;0.69;2.44;0.38;0.48;0.94;0.82;0.02;4.98;6.0;0.79;13.29;7.61;8.04;0.84;12.55;0.59;39.0;10;7.331,11,0,10,4;1;3;2;100;200;4;3;2;1;1.1;80;3;1;2;1;3;3;1;3;256;4;1;1;1;256;192;1.1;2;2
6,79.551,33.0,2.92;0.24;0.68;3.42;0.35;0.32;0.52;0.82;0.02;4.69;9.12;1.15;6.52;14.41;4.87;0.68;19.03;1.06;33.0;10;79.551,4.7,0,10,4;1;2;3;100;200;3;2;1;2;1.3;90;4;1;1;1;4;2;1;2;128;4;1;1;2;288;224;1.6;1;2
7,89.535,33.0,3.94;0.16;0.71;1.04;0.5;0.3;0.72;1.35;0.02;4.66;8.85;1.43;4.24;19.37;5.57;0.31;19.88;1.47;33.0;10;89.535,0.5,0,10,4;1;3;3;90;100;2;2;1;3;1.1;90;4;1;1;2;3;2;2;3;256;3;1;1;1;320;192;2.1;1;2
8,7.679,31.0,2.54;0.4;0.57;1.29;0.67;0.38;0.9;0.83;0.03;4.79;8.23;2.83;7.99;19.62;6.34;1.43;9.43;1.09;31.0;10;7.679,2.4,0,10,4;1;2;2;80;200;2;1;2;3;1.3;100;3;2;1;1;3;3;1;4;128;2;1;2;1;288;160;2.6;1;1
9,7.327,36.0,3.08;0.29;0.6;1.26;0.47;0.53;0.88;0.82;0.02;4.98;8.52;1.85;8.01;19.64;6.32;2.18;9.44;1.42;36.0;10;7.327,1.0,0,10,4;1;3;3;90;100;3;2;3;4;1.3;90;2;1;1;2;3;3;1;5;256;1;1;2;1;288;160;2.1;1;1
