task,latency,resource,observation,reward,cost,workload,conf
0,57.055,45.0,0.83;0.03;0.0;0.0;0.53;3.71;1.73;0.86;3.68;0.67;45.0;20;57.055,1.7,0,20,5;2;5;2;4;4;128;5;1;5;2;100;500;7;5;2
1,330.751,24.0,0.46;0.04;0.0;0.0;0.45;2.21;2.03;1.24;9.45;1.27;24.0;20;330.751,0.78,230.75,20,4;3;4;1;3;5;256;3;1;2;1;90;400;6;3;1
2,3.375,37.0,0.97;0.04;0.0;0.0;0.49;2.91;2.09;0.61;6.19;0.51;37.0;20;3.375,0.7,0,20,5;3;4;1;3;6;384;6;1;3;2;90;300;5;6;1
3,24.751,43.0,0.84;0.04;0.0;0.01;0.36;3.44;1.6;0.46;3.35;0.42;43.0;20;24.751,0.0,0,20,6;3;5;1;2;5;256;7;1;3;2;80;400;5;7;1
4,80.319,45.0,0.64;0.02;0.0;0.0;0.4;3.74;1.6;0.66;5.05;0.52;45.0;20;80.319,0.0,0,20,5;3;5;1;3;6;256;6;1;4;3;70;300;6;7;1
5,25.871,47.0,0.84;0.05;0.0;0.0;0.45;4.69;1.4;0.64;4.64;0.59;47.0;20;25.871,0.93,0,20,4;3;6;2;2;6;128;5;1;4;3;80;300;5;6;1
6,7.067,50.0,0.84;0.04;0.0;0.0;0.47;6.25;1.71;0.85;3.7;0.42;50.0;20;7.067,1.0,0,20,3;3;5;3;2;6;128;4;1;5;3;90;200;4;7;1
7,5.915,44.0,0.82;0.01;0.0;0.0;0.46;4.69;1.88;1.76;3.33;0.54;44.0;20;5.915,1.15,0,20,4;2;4;2;2;7;32;4;1;6;2;80;200;5;6;2
8,2.839,35.0,0.63;0.02;0.0;0.0;0.48;6.23;2.86;0.58;3.64;0.59;35.0;20;2.839,1.51,0,20,3;2;3;3;1;6;160;5;1;5;1;90;300;4;5;2
9,3.149,35.0,0.83;0.0;0.0;0.0;0.51;9.4;2.14;0.72;3.74;0.86;35.0;20;3.149,0.7,0,20,2;3;4;2;1;6;32;4;1;5;1;100;200;4;4;3
10,7.907,32.0,0.85;0.03;0.0;0.0;0.53;6.29;2.14;0.95;4.71;1.07;32.0;20;7.907,0.76,0,20,3;3;4;2;1;7;32;5;1;4;1;100;200;5;3;2
11,3.117,34.0,0.84;0.01;0.0;0.0;0.51;4.52;2.9;0.53;3.62;1.12;34.0;20;3.117,0.76,0,20,4;2;3;3;2;6;32;6;1;5;1;100;100;4;3;2
12,30.495,32.0,0.59;0.03;0.0;0.0;0.5;3.74;2.08;0.4;4.58;0.85;32.0;20;30.495,0.74,0,20,5;1;4;3;1;5;160;7;1;4;1;100;100;3;4;1
13,3.075,39.0,0.82;0.0;0.0;0.0;0.28;3.79;1.71;0.35;5.45;0.95;39.0;20;3.075,1.0,0,20,5;2;5;3;1;4;32;8;1;3;1;90;100;3;3;1
14,3.027,33.0,0.84;0.04;0.0;0.0;0.44;4.68;1.38;0.35;5.47;1.56;33.0;20;3.027,1.13,0,20,4;1;6;2;2;4;32;9;1;4;1;80;200;4;2;2
15,3.073,39.0,0.84;0.07;0.0;0.0;0.39;3.79;1.41;0.74;4.67;3.41;39.0;20;3.073,0.0,0,20,5;1;6;3;3;3;32;9;1;4;1;90;100;4;1;3
16,2.975,38.0,0.82;0.06;0.0;0.0;0.47;3.78;1.41;0.79;6.13;3.65;38.0;20;2.975,1.03,0,20,5;1;6;3;3;2;32;9;1;3;1;90;200;3;1;3
17,3.117,37.0,0.83;0.04;0.0;0.0;0.51;3.47;1.11;0.33;6.13;1.7;37.0;20;3.117,0.72,0,20,6;1;7;2;2;1;160;10;1;3;1;100;100;2;2;2
18,3.539,39.0,0.83;0.0;0.0;0.0;0.45;2.71;1.4;0.43;4.67;0.94;39.0;20;3.539,0.0,0,20,7;1;6;1;3;2;288;9;1;4;2;90;200;2;3;3
