microservice,type,parameter,categorical,discrete,float,range,step,conditional,units,comments,default
mongodb,mongodb,journalCommitInterval,,1,,10;500,25,,,,200
mongodb,mongodb,syncPeriodSecs,,1,,10;100,10,,,,60
mongodb,mongodb,cacheSizeGB,,,1,0.5;4,10,,,,2
mongodb,mongodb,journalCompressor,1,,,none;snappy;zlib;zstd,1,,,,snappy
mongodb,mongodb,blockCompressor,1,,,none;snappy;zlib;zstd,1,,,,snappy
mongodb,mongodb,connPoolMaxConnsPerHost,,1,,100;1000,50,,,,200
mongodb,mongodb,connPoolMaxInUseConnsPerHost,,1,,100;1000,50,,,,200
mongodb,mongodb,maxNumActiveUserIndexBuilds,,1,,1;10,1,,,,3
mongodb,mongodb,tcmallocReleaseRate,,,1,1;10,0.5,,,,1.0
mongodb,mongodb,maxSessions,,1,,10000;1000000,10000,,,,1000000
mongodb,mongodb,TransactionRecordMinimumLifetimeMinutes,,1,,5;60,5,,,,5
mongodb,mongodb,flowControlTargetLagSeconds,,1,,1;10,1,,,,10
mongodb,mongodb,oplogInitialFindMaxSeconds,,1,,30;300,10,,,,60
mongodb,mongodb,replWriterThreadCount,,1,,2;16,2,,,,16
mongodb,mongodb,wiredTigerConcurrentReadTransactions,,1,,32;512,32,,,,64
mongodb,mongodb,wiredTigerConcurrentWriteTransactions,,1,,32;512,32,,,,64
mongodb,mongodb,maxIncomingConnections,,1,,100;1024,32,,,,200
mongodb,mongodb,netCompressors,1,,,snappy;zlib;zstd,1,,,,snappy
mongodb,mongodb,serviceExecutor,1,,,synchronous;adaptive,1,,,,synchronous
mongodb,mongodb,maxTransactionLockRequestTimeoutMillis,,1,,10;100,10,,,,10
mongodb,resource,cpus,,,1,0.1;16,0.5,,,,0.5
mongodb,resource,memory,,,1,0.5;16,0.5,,,,0.5
mongodb,resource,replicas,,1,,1;1,1,,,,1
