microservice,type,parameter,categorical,discrete,float,range,step,conditional,units,comments,default
redis,redis,redis_tcp_keepalive,,1,,100;500,30,,,,300
redis,redis,repl-diskless-sync-delay,,1,,1;10,1,,,,5
redis,redis,maxmemory,,1,,100;10000,100,,,,500
redis,redis,maxmemory-policy,1,,,volatile-lru;allkeys-lru;volatile-lfu;allkeys-lfu;volatile-random;allkeys-random;volatile-ttl;noeviction,1,,,,noeviction
redis,redis,maxmemory-samples,,1,,3;20,1,,,,5
redis,redis,maxclients,,1,,5000;100000,1000,,,,10000
redis,redis,tcp-backlog,,1,,100;10000,100,,,,511
redis,redis,list-max-ziplist-size,,1,,1;5,1,,,,2
redis,redis,hash-max-ziplist-entries,,1,,64;1024,10,,,,512
redis,redis,hash-max-ziplist-value,,1,,64;1024,10,,,,512
redis,redis,list-compress-depth,,1,,0;3,10,,,,0
redis,redis,set-max-intset-entries,,1,,64;1024,10,,,,512
redis,redis,zset-max-ziplist-entries,,1,,64;1024,10,,,,128
redis,redis,zset-max-ziplist-value,,1,,64;1024,10,,,,64
redis,redis,hll-sparse-max-bytes,,1,,1000;10000,1000,,,,3000
redis,redis,hz,,1,,10;100,10,,, ,10
redis,redis,active-defrag-ignore-bytes,,1,,50;500,100,,,,100
redis,redis,lua-time-limit,,1,,1000;10000,1000,,,,5000
redis,resource,cpus,,,1,0.1;16,0.5,,,,0.5
redis,resource,memory,,,1,0.1;16,0.5,,,,0.5
redis,resource,replicas,,1,,1;1,1,,,,1
