microservice,type,parameter,categorical,discrete,float,range,step,default,result
compose-post-service,resource,resource,,1,,1;50,1,3,10
compose-post-service,resource,replicas,,1,,1;3,1,1,2
url-shorten-service,resource,resource,,1,,1;50,1,3,10
url-shorten-service,resource,replicas,,1,,1;3,1,1,10
compose-post-redis,redis,hz,,1,,10;100,10,100,50
compose-post-redis,redis,maxmemory,,1,,100;10000,100,500,1000
compose-post-redis,redis,maxmemory-policy,1,,,volatile-lru;allkeys-lru;volatile-lfu;allkeys-lfu;volatile-random;allkeys-random;volatile-ttl;noeviction,1,noeviction,noeviction
compose-post-redis,resource,resource,,1,,1;50,1,3,10
compose-post-redis,resource,replicas,,1,,1;3,1,1,3
post-storage-mongodb,mongodb,serviceExecutor,1,,,synchronous;adaptive,1,synchronous,synchronous
post-storage-mongodb,mongodb,cacheSizeGB,,,1,0.5;4,0.2,0.5,2
post-storage-mongodb,mongodb,syncPeriodSecs,,1,,10;100,10,60,50
post-storage-mongodb,resource,resource,,1,,1;50,1,3,30
post-storage-mongodb,resource,replicas,,1,,1;3,1,1,1
user-mention-service,resource,resource,,1,,1;50,1,3,20
user-mention-service,resource,replicas,,1,,1;3,1,1,2
text-service,resource,resource,,1,,1;50,1,3,15
text-service,resource,replicas,,1,,1;3,1,1,2
nginx-web-server,nginx,worker_processes,,1,,1;48,1,4,24
nginx-web-server,nginx,threads,,1,,1;48,1,4,24
nginx-web-server,nginx,worker_connections,,1,,32;4096,128,128,256
nginx-web-server,resource,resource,,1,,1;50,1,3,10
nginx-web-server,resource,replicas,,1,,1;1,1,1,1
user-timeline-service,resource,resource,,1,,1;50,1,3,25
user-timeline-service,resource,replicas,,1,,1;3,1,1,2
post-storage-memcached,memcached,m,,1,,256;1024,32,128,1024
post-storage-memcached,memcached,n,,1,,64;1024,32,128,1024
post-storage-memcached,memcached,f,,,1,1.1;10,0.5,2,5
post-storage-memcached,resource,resource,,1,,1;50,1,3,25
post-storage-memcached,resource,replicas,,1,,1;3,1,1,2
