microservice,type,parameter,result
compose-post-service,resource,resource,10
compose-post-service,resource,replicas,2
url-shorten-service,resource,resource,10
url-shorten-service,resource,replicas,10
compose-post-redis,redis,hz,50
compose-post-redis,redis,maxmemory,1000
compose-post-redis,redis,maxmemory-policy,noeviction
compose-post-redis,resource,resource,10
compose-post-redis,resource,replicas,3
post-storage-mongodb,mongodb,serviceExecutor,synchronous
post-storage-mongodb,mongodb,cacheSizeGB,2
post-storage-mongodb,mongodb,syncPeriodSecs,50
post-storage-mongodb,resource,resource,30
post-storage-mongodb,resource,replicas,1
user-mention-service,resource,resource,20
user-mention-service,resource,replicas,2
text-service,resource,resource,15
text-service,resource,replicas,2
nginx-web-server,nginx,worker_processes,24
nginx-web-server,nginx,threads,24
nginx-web-server,nginx,worker_connections,256
nginx-web-server,resource,resource,10
nginx-web-server,resource,replicas,1
user-timeline-service,resource,resource,25
user-timeline-service,resource,replicas,2
post-storage-memcached,memcached,m,1024
post-storage-memcached,memcached,n,1024
post-storage-memcached,memcached,f,5
post-storage-memcached,resource,resource,25
post-storage-memcached,resource,replicas,2
