task,latency,resource,observation,reward,cost,workload,conf
0,0.34,51,0.0;0.0;0.45;1.4;0.0;0.0;0.0;0.0;0.01;0.48;0.0;0.95;3.82;0.0;0.0;0.0;0.0;0.5;51;10;0.34,-1,-1,10,3;2;3;2;100;500;7;3;2;0;0.5;60;3;2;3;2;3;2;4;4;128;3;1;3;2;128;128;2.0;3;2
1,51.23,53,0.0;0.0;0.33;0.89;0.0;0.0;0.0;0.07;0.03;2.62;2.61;0.34;4.96;2.68;2.34;0.54;0.24;0.23;53;10;51.23,-1,-1,10,4;2;4;1;90;600;7;4;2;0;0.5;60;2;3;4;3;4;1;3;4;256;3;1;4;1;256;128;2.5;2;2
2,157.06,50,0.0;0.0;0.41;3.6;0.0;0.0;0.0;0.07;0.02;2.3;2.58;0.41;2.64;2.68;2.31;0.46;0.26;0.25;50;10;157.06,-1,-1,10,4;1;3;1;80;600;6;3;3;0;0.5;60;2;2;4;3;4;2;3;3;384;4;1;3;1;256;160;2.5;1;3
3,198.53,50,0.0;0.02;0.35;0.69;0.0;0.0;0.0;0.83;0.03;2.05;1.23;0.34;5.27;2.34;2.65;0.63;3.11;0.2;50;10;198.53,-1,-1,10,4;1;4;2;70;500;5;4;2;-1;0.7;60;2;1;4;2;3;3;4;4;256;3;1;2;1;256;192;3.0;2;3
4,197.63,37,0.0;0.0;0.43;0.72;0.0;0.0;0.0;0.43;0.03;2.32;2.55;0.32;6.25;2.7;3.06;0.49;1.51;0.21;37;10;197.63,-1,-1,10,3;2;3;1;80;400;4;4;1;-2;0.5;50;1;1;3;1;2;3;3;4;384;4;1;3;2;256;160;3.0;2;2
5,184.83,40,0.0;0.0;0.57;0.63;0.0;0.0;0.0;0.75;0.02;2.65;2.6;0.29;5.27;2.34;2.67;0.49;0.86;0.2;40;10;184.83,-1,-1,10,2;1;3;1;90;400;5;4;2;-3;0.5;60;2;1;4;1;3;3;3;3;256;4;1;2;1;288;192;3.5;3;2
6,184.06,35,0.0;0.03;0.44;0.71;0.0;0.0;0.0;1.97;0.02;3.1;2.72;0.32;6.31;2.09;2.66;0.38;2.69;0.19;35;10;184.06,-1,-1,10,1;2;3;2;80;300;6;3;1;-3;0.7;50;1;1;4;2;3;2;2;3;128;4;1;3;1;256;224;3.0;2;1
7,134.91,34,0.0;0.0;0.42;0.18;0.0;0.16;0.0;0.07;0.02;3.07;2.98;0.32;5.18;1.85;3.08;0.29;0.21;0.17;34;10;134.91,-1,-1,10,1;1;3;3;70;200;6;3;1;-2;0.7;60;2;1;4;1;2;3;1;4;256;4;1;3;1;288;192;2.5;2;1
8,190.97,40,0.0;0.01;0.37;15.42;0.0;0.0;0.0;0.83;0.02;3.75;3.46;0.28;1.73;2.08;2.66;0.33;3.11;0.17;40;10;190.97,-1,-1,10,1;2;2;2;60;300;5;4;2;-2;0.7;70;1;1;3;2;3;3;2;5;128;4;1;2;1;256;224;2.0;2;2
9,179.2,36,0.0;0.0;0.22;0.88;0.0;0.0;0.0;0.06;0.02;4.65;2.98;0.26;4.79;1.86;2.31;0.36;0.36;0.16;36;10;179.2,-1,-1,10,1;1;3;3;50;400;4;4;1;-2;0.9;60;2;2;4;1;3;3;2;4;32;3;1;1;1;288;224;1.5;1;1
