task,latency,resource,observation,reward,cost,workload,conf
0,43.231,36.0,0.83;0;0.0;0.0;0.51;4.81;1.87;1.09;4.65;0.8;36.0;20;43.231,1.7,0,20,4;2;4;2;4;4;128;4;1;4;2;100;500;7;4;2
1,3.079,31.0,0.83;0.0;0.0;0.0;0.54;3.72;1.73;2.36;4.98;1.02;31.0;20;3.079,1.81,0,20,5;3;5;1;3;5;256;4;1;3;1;90;400;6;4;1
2,2.973,30.0,0.83;0.01;0.0;0.0;0.36;4.43;1.88;0.95;9.36;0.77;30.0;20;2.973,1.03,0,20,4;3;4;1;4;6;384;5;1;2;2;90;300;5;5;1
3,3.003,32.0,0.8;0.08;0.0;0.0;0.46;4.2;1.62;2.01;18.55;0.6;32.0;20;3.003,0.0,0,20,5;3;5;1;3;5;256;5;1;1;2;80;400;5;5;1
4,2.885,32.0,0.82;0.0;0.0;0.0;0.48;4.7;1.62;1.13;9.34;0.6;32.0;20;2.885,1.01,0,20,4;3;5;1;4;6;256;4;1;2;3;70;300;6;5;1
5,2.997,32.0,0.82;0.04;0.0;0.0;0.45;6.26;1.62;1.25;9.34;0.88;32.0;20;2.997,0.7,0,20,3;3;5;2;3;5;128;3;1;2;3;80;300;5;4;1
6,3.067,34.0,0.83;0.0;0.0;0.0;0.47;7.86;2.02;1.89;6.17;0.58;34.0;20;3.067,0.0,0,20,2;3;4;3;3;5;256;2;1;3;3;90;200;4;5;1
7,2.977,33.0,0.83;0.04;0.0;0.0;0.43;7.86;2.51;4.08;4.66;0.68;33.0;20;2.977,1.03,0,20,3;3;3;2;3;5;128;2;1;4;2;80;200;5;4;2
8,2.883,24.0,0.83;0.02;0.0;0.0;0.42;7.84;3.8;1.1;6.18;0.9;24.0;20;2.883,1.27,0,20,2;3;2;3;2;4;256;3;1;3;1;90;300;4;3;2
9,2.975,24.0,0.82;0.04;0.0;0.0;0.42;9.41;2.81;2.27;6.18;1.42;24.0;20;2.975,0.7,0,20,2;3;3;2;2;4;128;3;1;3;1;100;200;4;2;3
10,2.995,23.0,0.83;0.0;0.0;0.0;0.51;6.28;2.81;0.83;9.25;3.33;23.0;20;2.995,0.73,0,20,3;3;3;2;2;5;128;4;1;2;1;100;200;5;1;2
11,3.031,24.0,0.83;0.0;0.0;0.0;0.52;4.71;4.3;0.77;6.14;3.69;24.0;20;3.031,0.0,0,20,4;2;2;3;3;4;256;5;1;3;1;100;100;4;1;2
12,2.907,23.0,0.82;0.07;0.0;0.41;0.49;4.4;3.59;1.67;3.39;1.53;23.0;20;2.907,1.04,0,20,5;1;3;3;2;3;384;5;1;2;1;100;100;3;2;1
13,2.985,29.0,0.82;0.03;0.0;0.0;0.48;3.74;2.13;1.77;16.8;2.21;29.0;20;2.985,0.0,0,20,5;2;4;3;1;2;256;5;1;1;1;90;100;3;1;1
14,3.067,23.0,0.83;0.08;0.0;0.0;0.45;4.72;1.68;1.82;9.4;3.08;23.0;20;3.067,0.88,0,20,4;1;5;2;2;3;128;5;1;2;1;80;200;4;1;2
