task_id,read,update,scan,insert,memcached_m,memcached_n,memcached_f,memcached_c,memcached_t,memcached_R,memcached_b,memcached_resource,memcached_replicas,memcached_accepting_connections,memcached_connections_listener_disabled_total,memcached_connections_rejected_total,memcached_connections_total,memcached_connections_yielded_total,memcached_current_connections,memcached_current_items,memcached_items_evicted_total,memcached_items_reclaimed_total,memcached_items_total,memcached_lru_crawler_enabled,memcached_lru_crawler_hot_max_factor,memcached_lru_crawler_hot_percent,memcached_lru_crawler_items_checked_total,memcached_lru_crawler_maintainer_thread,memcached_lru_crawler_moves_to_cold_total,memcached_lru_crawler_moves_to_warm_total,memcached_lru_crawler_moves_within_lru_total,memcached_lru_crawler_reclaimed_total,memcached_lru_crawler_sleep,memcached_lru_crawler_starts_total,memcached_lru_crawler_to_crawl,memcached_lru_crawler_warm_max_factor,memcached_lru_crawler_warm_percent,memcached_max_connections,memcached_process_system_cpu_seconds_total,memcached_process_user_cpu_seconds_total,memcached_slab_chunk_size_bytes,memcached_slab_chunks_free,memcached_slab_chunks_free_end,memcached_slab_chunks_per_page,memcached_slab_chunks_used,memcached_slab_cold_items,memcached_slab_current_chunks,memcached_slab_current_items,memcached_slab_current_pages,memcached_slab_hot_age_seconds,memcached_slab_hot_items,memcached_slab_items_age_seconds,memcached_slab_items_crawler_reclaimed_total,memcached_slab_items_evicted_nonzero_total,memcached_slab_items_evicted_time_seconds,memcached_slab_items_evicted_total,memcached_slab_items_evicted_unfetched_total,memcached_slab_items_expired_unfetched_total,memcached_slab_items_moves_to_cold,memcached_slab_items_moves_to_warm,memcached_slab_items_moves_within_lru,memcached_slab_items_outofmemory_total,memcached_slab_items_reclaimed_total,memcached_slab_items_tailrepairs_total,memcached_slab_lru_hits_total,memcached_slab_warm_age_seconds,memcached_slab_warm_items
1,299.0,88.0,0.0,107.0,111,905,8.36,1035,15,31,1913,24,1,1.0,0.0,0.0,9.0,0.0,2.33,14336.0,95345.0,0.0,109722.0,1.0,0.2,20.0,14336.0,1.0,109716.0,3.0,0.0,0.0,100.0,2.0,0.0,2.0,40.0,1035.0,0.92,0.41,960.0,1056.0,0.0,1092.0,36.0,36.0,1092.0,36.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2,320.0,86.0,0.0,114.0,519,330,2.94,828,17,28,1728,19,1,1.0,0.0,0.0,10.67,0.0,3.33,109686.0,0.0,0.0,109784.0,1.0,0.2,20.0,36562.0,1.0,109764.0,8.0,1.0,0.0,100.0,1.33,0.0,2.0,40.0,828.0,1.01,0.43,384.0,2641.0,0.0,2730.0,89.0,88.0,2730.0,89.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,3.0,1.0,0.0,0.0,0.0,7.0,14.0,1.0
3,328.0,94.0,0.0,112.0,787,213,6.45,1683,2,77,1414,14,1,1.0,0.0,0.0,7.0,0.0,2.67,109703.0,0.0,0.0,109814.0,1.0,0.2,20.0,109703.0,1.0,109786.0,5.0,0.0,0.0,100.0,2.0,0.0,2.0,40.0,1683.0,0.95,0.44,264.0,3871.0,0.0,3971.0,100.0,100.0,3971.0,100.0,1.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
4,339.0,96.0,0.0,114.0,541,832,7.79,2017,22,117,1759,28,1,1.0,0.0,0.0,9.33,0.0,2.67,82174.0,27503.0,0.0,109783.0,1.0,0.2,20.0,27391.33,1.0,109758.0,3.0,3.0,0.0,100.0,1.33,0.0,2.0,40.0,2017.0,1.07,0.36,880.0,1097.0,0.0,1191.0,94.0,92.0,1191.0,94.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,3.0,3.0,0.0,0.0,0.0,4.0,22.0,2.0
5,298.0,88.0,0.0,107.0,526,664,8.07,1397,19,122,1843,26,1,1.0,0.0,0.0,10.33,0.0,3.67,95641.0,14051.0,0.0,109797.0,1.0,0.2,20.0,31880.33,1.0,109775.0,3.0,3.0,0.0,100.0,1.33,0.0,2.0,40.0,1397.0,1.05,0.36,712.0,1381.0,0.0,1472.0,91.0,91.0,1472.0,91.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0
6,372.0,85.0,0.0,112.0,126,852,3.16,1579,18,54,1364,21,1,1.0,0.0,0.0,11.67,0.0,3.67,45933.0,63776.0,0.0,109779.0,1.0,0.2,20.0,45933.0,1.0,109764.0,3.0,1.0,0.0,100.0,2.0,0.0,2.0,40.0,1579.0,0.93,0.44,904.0,1101.0,0.0,1159.0,58.0,58.0,1159.0,58.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
7,359.0,93.0,0.0,117.0,497,816,1.82,931,1,30,1907,24,1,1.0,0.0,0.0,10.0,0.0,3.0,109697.0,0.0,0.0,109792.0,1.0,0.2,20.0,36565.67,1.0,109774.0,3.0,2.0,0.0,100.0,1.33,0.0,2.0,40.0,931.0,1.06,0.39,864.0,1128.0,0.0,1213.0,85.0,85.0,1213.0,85.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0
8,353.0,78.0,0.0,108.0,358,244,2.05,613,14,43,1790,26,1,1.0,0.0,0.0,9.0,0.0,2.67,109708.0,0.0,0.0,109802.0,1.0,0.2,20.0,109708.0,1.0,109785.0,2.0,0.0,0.0,100.0,2.0,0.0,2.0,40.0,613.0,0.96,0.43,296.0,3459.0,0.0,3542.0,83.0,83.0,3542.0,83.0,1.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
9,312.0,84.0,0.0,107.0,896,419,8.58,1899,8,111,1455,21,1,1.0,0.0,0.0,11.67,0.0,2.67,109685.0,0.0,0.0,109800.0,1.0,0.2,20.0,109685.0,1.0,109771.0,7.0,3.0,0.0,100.0,2.0,0.0,2.0,40.0,1899.0,0.99,0.45,472.0,2120.0,0.0,2221.0,101.0,100.0,2221.0,101.0,1.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,3.0,3.0,0.0,0.0,0.0,6.0,30.0,1.0
10,310.0,84.0,0.0,109.0,321,432,4.17,1760,14,124,1136,21,1,1.0,0.0,0.0,8.0,0.0,2.67,109678.0,0.0,0.0,109791.0,1.0,0.2,20.0,36559.33,1.0,109767.0,5.0,2.0,0.0,100.0,1.33,0.0,2.0,40.0,1760.0,1.01,0.44,480.0,2085.0,0.0,2184.0,99.0,99.0,2184.0,99.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0
11,325.0,79.0,0.0,107.0,268,86,1.13,539,31,70,1701,7,1,1.0,0.0,0.0,10.33,0.0,2.67,109634.0,0.0,0.0,109761.0,1.0,0.2,20.0,36544.67,1.0,109729.0,4.0,2.0,0.0,100.0,1.33,0.0,2.0,40.0,539.0,0.95,0.38,1248.0,809.0,0.0,840.0,105871.0,105871.0,106680.0,105871.0,127.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,105952.0,1.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0
12,294.0,96.0,0.0,106.0,311,68,1.25,524,32,73,1683,4,1,1.0,0.0,0.0,9.0,0.0,3.33,109702.0,0.0,0.0,109799.0,1.0,0.2,20.0,36567.33,1.0,109778.0,6.0,0.0,0.0,100.0,1.33,0.0,2.0,40.0,524.0,0.91,0.44,1480.0,123.0,0.0,708.0,109617.0,109615.0,109740.0,109617.0,155.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,109689.0,2.0,0.0,0.0,0.0,0.0,71.0,27.0,2.0
