microservice,type,parameter,categorical,discrete,float,range,step,default
mongodb,mongodb,journalCommitInterval,,1,,10;500,25,200
mongodb,mongodb,syncPeriodSecs,,1,,10;100,10,60
mongodb,mongodb,cacheSizeGB,,,1,0.5;4,0.2,0.5
mongodb,mongodb,journalCompressor,1,,,none;snappy;zlib;zstd,1,snappy
mongodb,mongodb,blockCompressor,1,cacheSizeGB,,none;snappy;zlib;zstd,1,snappy
mongodb,mongodb,connPoolMaxConnsPerHost,,1,,100;1000,50,200
mongodb,mongodb,connPoolMaxInUseConnsPerHost,,1,,100;1000,50,200
mongodb,mongodb,maxNumActiveUserIndexBuilds,,1,,1;10,1,3
mongodb,mongodb,tcmallocReleaseRate,,,1,1;10,0.5,1.0
mongodb,mongodb,maxSessions,,1,,10000;1000000,10000,1000000
mongodb,mongodb,TransactionRecordMinimumLifetimeMinutes,,1,,5;60,5,5
mongodb,mongodb,flowControlTargetLagSeconds,,1,,1;10,1,10
mongodb,mongodb,oplogInitialFindMaxSeconds,,1,,30;300,10,60
mongodb,mongodb,replWriterThreadCount,,1,,8;32,2,16
mongodb,mongodb,wiredTigerConcurrentReadTransactions,,1,,64;1024,32,64
mongodb,mongodb,wiredTigerConcurrentWriteTransactions,,1,,64;1024,32,64
mongodb,mongodb,maxIncomingConnections,,1,,100;1024,32,200
mongodb,mongodb,netCompressors,1,,,snappy;zlib;zstd,1,snappy
mongodb,mongodb,serviceExecutor,1,,,synchronous;adaptive,1,synchronous
mongodb,mongodb,maxTransactionLockRequestTimeoutMillis,,1,,10;100,10,10
mongodb,resource,resource,,1,,1;5,1,1
mongodb,resource,replicas,,1,,1;3,1,1
