microservice,type,parameter,categorical,discrete,float,range,step,conditional,units,comments,default
mysql,mysql,back_log,,1,,256;2048,128,,,,512
mysql,mysql,key_buffer_size,,1,,64;1024,32,,,,64
mysql,mysql,max_connections,,1,,500;10000,200,,,,1000
mysql,mysql,innodb_buffer_pool_size,,1,,64;1024,32,,,,128
mysql,mysql,max_connect_errors,,1,,100;10000,100,,,,6000
mysql,mysql,open_files_limit,,1,,1024;65535,1024,,,,65535
mysql,mysql,table_open_cache,,1,,64;1024,32,,,,256
mysql,mysql,max_allowed_packet,,1,,1;16,1,,,,4
mysql,mysql,binlog_cache_size,,1,,1;16,1,,,,1
mysql,mysql,max_heap_table_size,,1,,1;32,1,,,,8
mysql,mysql,tmp_table_size,,1,,1;32,1,,,,16
mysql,mysql,read_buffer_size,,1,,1;32,1,,,,2
mysql,mysql,read_rnd_buffer_size,,1,,1;32,1,,,,8
mysql,mysql,sort_buffer_size,,1,,1;32,1,,,,8
mysql,mysql,join_buffer_size,,1,,1;32,1,,,,8
mysql,mysql,thread_cache_size,,1,,4;128,4,,,,16
mysql,mysql,ft_min_word_len,,1,,4;32,1,,,,4
mysql,mysql,transaction_isolation,1,,,READ-UNCOMMITTED;READ-COMMITTED;REPEATABLE-READ;SERIALIZABLE,1,,,,REPEATABLE-READ
mysql,mysql,innodb_write_io_threads,,1,,4;64,2,,,,4
mysql,mysql,innodb_read_io_threads,,1,,4;64,2,,,,4
mysql,mysql,innodb_log_file_size,,1,,1;32,1,,,,4
mysql,mysql,innodb_lock_wait_timeout,,1,,30;120,1,,,,120
mysql,resource,cpus,,,1,0.1;2,0.2,,,,0.5
mysql,resource,memory,,,1,0.1;2,0.2,,,,0.5
