task_id,read,update,scan,insert,mysql_back_log,mysql_key_buffer_size,mysql_max_connections,mysql_innodb_buffer_pool_size,mysql_max_connect_errors,mysql_open_files_limit,mysql_table_open_cache,mysql_max_allowed_packet,mysql_binlog_cache_size,mysql_max_heap_table_size,mysql_tmp_table_size,mysql_read_buffer_size,mysql_read_rnd_buffer_size,mysql_sort_buffer_size,mysql_join_buffer_size,mysql_thread_cache_size,mysql_ft_min_word_len,mysql_transaction_isolation,mysql_innodb_open_files,mysql_innodb_write_io_threads,mysql_innodb_read_io_threads,mysql_innodb_log_buffer_size,mysql_innodb_log_file_size,mysql_innodb_log_files_in_group,mysql_innodb_lock_wait_timeout,mysql_innodb_flush_log_at_trx_commit,mysql_resource,mysql_replicas,mysql_global_status_binlog_cache_use,mysql_global_status_connections,mysql_global_status_created_tmp_tables,mysql_global_status_error_log_buffered_bytes,mysql_global_status_innodb_buffer_pool_read_requests,mysql_global_status_innodb_buffer_pool_reads,mysql_global_status_innodb_buffer_pool_write_requests,mysql_global_status_innodb_data_fsyncs,mysql_global_status_innodb_data_reads,mysql_global_status_innodb_data_writes,mysql_global_status_innodb_dblwr_pages_written,mysql_global_status_innodb_dblwr_writes,mysql_global_status_innodb_log_write_requests,mysql_global_status_innodb_log_writes,mysql_global_status_innodb_os_log_fsyncs,mysql_global_status_innodb_page_size,mysql_global_status_innodb_pages_created,mysql_global_status_innodb_pages_read,mysql_global_status_innodb_pages_written,mysql_global_status_innodb_redo_log_logical_size,mysql_global_status_innodb_system_rows_read,mysql_global_status_innodb_system_rows_updated,mysql_global_status_opened_tables,mysql_global_status_queries,mysql_global_status_questions,mysql_global_status_select_scan,mysql_global_status_ssl_session_cache_size,mysql_global_status_ssl_session_cache_timeout,mysql_global_status_table_locks_immediate,mysql_global_status_table_open_cache_hits,mysql_global_status_table_open_cache_misses,mysql_global_status_table_open_cache_overflows,mysql_global_status_uptime_since_flush_status,mysql_global_variables_binlog_row_event_max_size,mysql_global_variables_binlog_stmt_cache_size,mysql_global_variables_binlog_transaction_dependency_history_size,mysql_global_variables_caching_sha2_password_digest_rounds,mysql_global_variables_connection_memory_chunk_size,mysql_global_variables_cte_max_recursion_depth,mysql_global_variables_delayed_insert_limit,mysql_global_variables_delayed_insert_timeout,mysql_global_variables_delayed_queue_size,mysql_global_variables_eq_range_index_dive_limit,mysql_global_variables_group_concat_max_len,mysql_global_variables_host_cache_size,mysql_global_variables_information_schema_stats_expiry,mysql_global_variables_innodb_adaptive_max_sleep_delay,mysql_global_variables_innodb_concurrency_tickets,mysql_global_variables_innodb_fill_factor,mysql_global_variables_innodb_ft_num_word_optimize,mysql_global_variables_innodb_idle_flush_pct,mysql_global_variables_innodb_io_capacity,mysql_global_variables_innodb_io_capacity_max,mysql_global_variables_innodb_lock_wait_timeout,mysql_global_variables_innodb_log_wait_for_flush_spin_hwm,mysql_global_variables_innodb_log_write_ahead_size,mysql_global_variables_innodb_lru_scan_depth,mysql_global_variables_innodb_old_blocks_time,mysql_global_variables_innodb_open_files,mysql_global_variables_innodb_page_size,mysql_global_variables_innodb_purge_batch_size,mysql_global_variables_innodb_purge_rseg_truncate_frequency,mysql_global_variables_innodb_rollback_segments,mysql_global_variables_innodb_thread_sleep_delay,mysql_global_variables_key_cache_age_threshold,mysql_global_variables_key_cache_block_size,mysql_global_variables_key_cache_division_limit,mysql_global_variables_max_connect_errors,mysql_global_variables_max_connections,mysql_global_variables_max_digest_length,mysql_global_variables_max_error_count,mysql_global_variables_max_length_for_sort_data,mysql_global_variables_max_points_in_geometry,mysql_global_variables_max_prepared_stmt_count,mysql_global_variables_max_sort_length,mysql_global_variables_mysqlx_max_connections,mysql_global_variables_net_buffer_length,mysql_global_variables_performance_schema_max_cond_classes,mysql_global_variables_performance_schema_max_digest_length,mysql_global_variables_performance_schema_max_file_handles,mysql_global_variables_performance_schema_max_memory_classes,mysql_global_variables_performance_schema_max_mutex_classes,mysql_global_variables_performance_schema_max_sql_text_length,mysql_global_variables_performance_schema_max_stage_classes,mysql_global_variables_performance_schema_max_statement_classes,mysql_global_variables_performance_schema_max_thread_classes,mysql_global_variables_performance_schema_session_connect_attrs_size,mysql_global_variables_preload_buffer_size,mysql_global_variables_query_alloc_block_size,mysql_global_variables_query_prealloc_size,mysql_global_variables_range_alloc_block_size,mysql_global_variables_replica_checkpoint_group,mysql_global_variables_replica_checkpoint_period,mysql_global_variables_rpl_read_size,mysql_global_variables_schema_definition_cache,mysql_global_variables_secondary_engine_cost_threshold,mysql_global_variables_select_into_buffer_size,mysql_global_variables_slave_checkpoint_group,mysql_global_variables_slave_checkpoint_period,mysql_global_variables_ssl_session_cache_timeout,mysql_global_variables_stored_program_cache,mysql_global_variables_stored_program_definition_cache,mysql_global_variables_table_definition_cache,mysql_global_variables_table_open_cache,mysql_global_variables_tablespace_definition_cache,mysql_global_variables_transaction_alloc_block_size,mysql_global_variables_transaction_prealloc_size
2,165.0,516095.0,2313.0,899071.0,694,1006,5839,608,995,35281,457,110,104,158,22,141,57,60,90,255,233,READ-COMMITTED,178,47,8,48,92,2,75,2,10,1,54.0,15.0,28.33,1888.0,16114.33,852.67,2411.67,89.0,875.67,459.67,89.0,2.67,1174.67,193.67,28.0,16384.0,159.67,851.67,230.0,182784.0,4822.67,331.0,321.0,154.67,146.33,42.67,128.0,300.0,14.33,2935.33,321.0,170.67,125.0,8192.0,32768.0,25000.0,5000.0,8912.0,1000.0,100.0,300.0,1000.0,200.0,1024.0,894.0,86400.0,150000.0,5000.0,100.0,2000.0,100.0,200.0,2000.0,75.0,400.0,8192.0,1024.0,1000.0,178.0,16384.0,300.0,128.0,128.0,10000.0,300.0,1024.0,100.0,995.0,5839.0,1024.0,1024.0,4096.0,65536.0,16382.0,1024.0,100.0,16384.0,150.0,1024.0,32768.0,450.0,350.0,1024.0,175.0,219.0,100.0,512.0,32768.0,8192.0,8192.0,4096.0,512.0,300.0,8192.0,256.0,100000.0,131072.0,512.0,300.0,300.0,256.0,256.0,628.0,457.0,256.0,8192.0,4096.0
3,170.0,616447.0,3031.0,529407.0,171,917,2898,53,6750,50118,484,1,61,239,165,127,2,23,3,167,29,REPEATABLE-READ,866,4,8,97,108,9,120,2,29,1,0.0,9.0,6.0,1768.0,15198.0,856.0,1930.0,93.0,879.0,260.0,53.0,14.0,837.0,29.0,13.0,16384.0,147.0,855.0,194.0,85504.0,4800.0,331.0,138.0,21.0,18.0,9.0,128.0,300.0,3.0,3031.0,138.0,7.0,11.0,8192.0,32768.0,25000.0,5000.0,8912.0,1000.0,100.0,300.0,1000.0,200.0,1024.0,747.0,86400.0,150000.0,5000.0,100.0,2000.0,100.0,200.0,2000.0,120.0,400.0,8192.0,1024.0,1000.0,866.0,16384.0,300.0,128.0,128.0,10000.0,300.0,1024.0,100.0,6750.0,2898.0,1024.0,1024.0,4096.0,65536.0,16382.0,1024.0,100.0,16384.0,150.0,1024.0,32768.0,450.0,350.0,1024.0,175.0,219.0,100.0,512.0,32768.0,8192.0,8192.0,4096.0,512.0,300.0,8192.0,256.0,100000.0,131072.0,512.0,300.0,300.0,256.0,256.0,642.0,484.0,256.0,8192.0,4096.0
6,186.0,163071.0,1813.0,106431.0,407,440,1196,367,7774,29731,938,28,81,148,24,30,66,156,37,204,9,SERIALIZABLE,146,45,45,60,98,7,78,2,3,1,0.0,13.67,25.0,1768.0,15191.0,848.0,1933.0,73.0,871.0,264.0,54.0,3.0,840.0,41.0,19.0,16384.0,147.0,847.0,195.0,512.0,4800.0,331.0,148.0,86.33,78.67,38.0,128.0,300.0,13.0,3031.0,148.0,0.0,77.0,8192.0,32768.0,25000.0,5000.0,8912.0,1000.0,100.0,300.0,1000.0,200.0,1024.0,662.0,86400.0,150000.0,5000.0,100.0,2000.0,100.0,200.0,2000.0,78.0,400.0,8192.0,1024.0,1000.0,146.0,16384.0,300.0,128.0,128.0,10000.0,300.0,1024.0,100.0,7774.0,1196.0,1024.0,1024.0,4096.0,65536.0,16382.0,1024.0,100.0,16384.0,150.0,1024.0,32768.0,450.0,350.0,1024.0,175.0,219.0,100.0,512.0,32768.0,8192.0,8192.0,4096.0,512.0,300.0,8192.0,256.0,100000.0,131072.0,512.0,300.0,300.0,256.0,256.0,869.0,938.0,256.0,8192.0,4096.0
7,170.0,215807.0,1691.0,180863.0,61,509,4445,903,6736,23226,613,11,86,4,111,253,111,87,136,95,63,READ-UNCOMMITTED,348,53,20,27,93,8,70,0,23,1,0.0,13.0,22.33,1768.0,15201.0,855.0,1932.0,69.0,878.0,249.0,54.0,3.0,839.0,26.0,18.0,16384.0,147.0,854.0,195.0,512.0,4800.0,331.0,146.67,77.67,70.67,34.0,128.0,300.0,11.67,3031.0,146.67,0.0,101.0,8192.0,32768.0,25000.0,5000.0,8912.0,1000.0,100.0,300.0,1000.0,200.0,1024.0,825.0,86400.0,150000.0,5000.0,100.0,2000.0,100.0,200.0,2000.0,70.0,400.0,8192.0,1024.0,1000.0,348.0,16384.0,300.0,128.0,128.0,10000.0,300.0,1024.0,100.0,6736.0,4445.0,1024.0,1024.0,4096.0,65536.0,16382.0,1024.0,100.0,16384.0,150.0,1024.0,32768.0,450.0,350.0,1024.0,175.0,219.0,100.0,512.0,32768.0,8192.0,8192.0,4096.0,512.0,300.0,8192.0,256.0,100000.0,131072.0,512.0,300.0,300.0,256.0,256.0,706.0,613.0,256.0,8192.0,4096.0
8,173.0,167807.0,3749.0,216447.0,466,97,8220,284,2828,56769,845,59,109,45,161,112,251,24,180,235,173,SERIALIZABLE,113,22,63,25,103,8,33,2,27,1,0.0,14.67,28.67,1888.0,15197.0,851.0,1932.0,76.0,874.0,259.0,56.0,4.0,839.0,33.0,20.0,16384.0,147.0,850.0,197.0,512.0,4800.0,331.0,149.67,101.0,92.33,43.33,128.0,300.0,14.67,3031.0,149.67,0.0,105.0,8192.0,32768.0,25000.0,5000.0,8912.0,1000.0,100.0,300.0,1000.0,200.0,1024.0,1014.0,86400.0,150000.0,5000.0,100.0,2000.0,100.0,200.0,2000.0,33.0,400.0,8192.0,1024.0,1000.0,113.0,16384.0,300.0,128.0,128.0,10000.0,300.0,1024.0,100.0,2828.0,8220.0,1024.0,1024.0,4096.0,65536.0,16382.0,1024.0,100.0,16384.0,150.0,1024.0,32768.0,450.0,350.0,1024.0,175.0,219.0,100.0,512.0,32768.0,8192.0,8192.0,4096.0,512.0,300.0,8192.0,256.0,100000.0,131072.0,512.0,300.0,300.0,256.0,256.0,822.0,845.0,256.0,8192.0,4096.0
9,161.0,826367.0,2557.0,222335.0,1013,845,2793,832,7401,41167,536,116,113,192,38,231,204,212,126,252,36,READ-UNCOMMITTED,648,57,35,36,58,7,99,0,26,1,0.0,13.67,25.0,1768.0,15194.0,852.0,1932.0,70.0,875.0,261.0,68.0,3.0,839.0,24.0,17.0,16384.0,147.0,851.0,209.0,512.0,4800.0,331.0,147.67,87.67,80.0,37.67,128.0,300.0,12.67,3031.0,147.67,4.0,81.0,8192.0,32768.0,25000.0,5000.0,8912.0,1000.0,100.0,300.0,1000.0,200.0,1024.0,742.0,86400.0,150000.0,5000.0,100.0,2000.0,100.0,200.0,2000.0,99.0,400.0,8192.0,1024.0,1000.0,648.0,16384.0,300.0,128.0,128.0,10000.0,300.0,1024.0,100.0,7401.0,2793.0,1024.0,1024.0,4096.0,65536.0,16382.0,1024.0,100.0,16384.0,150.0,1024.0,32768.0,450.0,350.0,1024.0,175.0,219.0,100.0,512.0,32768.0,8192.0,8192.0,4096.0,512.0,300.0,8192.0,256.0,100000.0,131072.0,512.0,300.0,300.0,256.0,256.0,668.0,536.0,256.0,8192.0,4096.0
10,171.0,1067007.0,2627.0,839679.0,652,163,7712,687,3120,41702,62,19,46,130,69,59,29,133,133,45,4,READ-UNCOMMITTED,979,54,24,56,35,1,33,1,11,1,0.0,13.67,24.67,1896.0,15197.0,854.0,1932.0,73.0,878.0,256.0,56.0,3.0,839.0,31.0,19.0,16384.0,147.0,854.0,197.0,512.0,4800.0,331.0,2342.67,87.33,79.67,37.33,128.0,300.0,12.67,836.0,2342.67,2310.0,78.0,8192.0,32768.0,25000.0,5000.0,8912.0,1000.0,100.0,300.0,1000.0,200.0,1024.0,988.0,86400.0,150000.0,5000.0,100.0,2000.0,100.0,200.0,2000.0,33.0,400.0,8192.0,1024.0,1000.0,979.0,16384.0,300.0,128.0,128.0,10000.0,300.0,1024.0,100.0,3120.0,7712.0,1024.0,1024.0,4096.0,65536.0,16382.0,1024.0,100.0,16384.0,150.0,1024.0,32768.0,450.0,350.0,1024.0,175.0,219.0,100.0,512.0,32768.0,8192.0,8192.0,4096.0,512.0,300.0,8192.0,256.0,100000.0,131072.0,512.0,300.0,300.0,256.0,256.0,431.0,62.0,256.0,8192.0,4096.0
12,168.0,150143.0,2929.0,116735.0,498,340,463,214,4165,62020,981,84,124,85,110,78,162,180,222,214,186,SERIALIZABLE,110,34,64,116,125,10,36,2,19,1,0.0,15.0,29.33,1888.0,15196.0,854.0,1932.0,75.0,877.0,288.0,69.0,4.0,839.0,49.0,20.0,16384.0,147.0,853.0,210.0,512.0,4800.0,331.0,150.0,105.0,96.0,44.33,128.0,300.0,15.0,3031.0,150.0,0.0,93.0,8192.0,32768.0,25000.0,5000.0,8912.0,1000.0,100.0,300.0,1000.0,200.0,1024.0,591.0,86400.0,150000.0,5000.0,100.0,2000.0,100.0,200.0,2000.0,36.0,400.0,8192.0,1024.0,1000.0,110.0,16384.0,300.0,128.0,128.0,10000.0,300.0,1024.0,100.0,4165.0,463.0,1024.0,1024.0,4096.0,65536.0,16382.0,1024.0,100.0,16384.0,150.0,1024.0,32768.0,450.0,350.0,1024.0,175.0,219.0,100.0,512.0,32768.0,8192.0,8192.0,4096.0,512.0,300.0,8192.0,256.0,100000.0,131072.0,512.0,300.0,300.0,256.0,256.0,890.0,981.0,256.0,8192.0,4096.0
13,174.0,1973247.0,2447.0,494591.0,582,370,103,180,4994,63082,956,85,90,94,4,57,171,186,256,201,219,SERIALIZABLE,310,37,48,128,122,10,52,1,19,1,0.0,10.67,14.33,1888.0,15198.0,858.0,1932.0,75.0,881.0,262.0,69.0,3.0,839.0,24.0,22.0,16384.0,147.0,857.0,210.0,512.0,4800.0,331.0,142.33,46.0,41.33,21.67,128.0,300.0,7.33,3031.0,142.33,0.0,73.0,8192.0,32768.0,25000.0,5000.0,8912.0,1000.0,100.0,300.0,1000.0,200.0,1024.0,231.0,86400.0,150000.0,5000.0,100.0,2000.0,100.0,200.0,2000.0,52.0,400.0,8192.0,1024.0,1000.0,310.0,16384.0,300.0,128.0,128.0,10000.0,300.0,1024.0,100.0,4994.0,103.0,1024.0,1024.0,4096.0,65536.0,16382.0,1024.0,100.0,16384.0,150.0,1024.0,32768.0,450.0,350.0,1024.0,175.0,219.0,100.0,512.0,32768.0,8192.0,8192.0,4096.0,512.0,300.0,8192.0,256.0,100000.0,131072.0,512.0,300.0,300.0,256.0,256.0,878.0,956.0,256.0,8192.0,4096.0
14,163.0,285951.0,2279.0,357119.0,437,668,105,497,4648,13104,845,89,128,160,114,62,89,179,201,206,187,SERIALIZABLE,108,44,63,119,124,5,89,2,18,1,0.0,15.0,31.0,1888.0,15187.0,846.0,1932.0,72.0,870.0,267.0,73.0,4.0,839.0,24.0,18.0,16384.0,147.0,846.0,214.0,512.0,4800.0,331.0,150.67,107.67,98.67,46.67,128.0,300.0,15.67,3031.0,150.67,0.0,111.0,8192.0,32768.0,25000.0,5000.0,8912.0,1000.0,100.0,300.0,1000.0,200.0,1024.0,233.0,86400.0,150000.0,5000.0,100.0,2000.0,100.0,200.0,2000.0,89.0,400.0,8192.0,1024.0,1000.0,108.0,16384.0,300.0,128.0,128.0,10000.0,300.0,1024.0,100.0,4648.0,105.0,1024.0,1024.0,4096.0,65536.0,16382.0,1024.0,100.0,16384.0,150.0,1024.0,32768.0,450.0,350.0,1024.0,175.0,219.0,100.0,512.0,32768.0,8192.0,8192.0,4096.0,512.0,300.0,8192.0,256.0,100000.0,131072.0,512.0,300.0,300.0,256.0,256.0,822.0,845.0,256.0,8192.0,4096.0
