task_id,read,update,scan,insert,redis_redis_tcp_keepalive,redis_repl_diskless_sync_delay,redis_maxmemory,redis_maxmemory_policy,redis_maxmemory_samples,redis_maxclients,redis_tcp_backlog,redis_list_max_ziplist_size,redis_hash_max_ziplist_entries,redis_hash_max_ziplist_value,redis_list_compress_depth,redis_set_max_intset_entries,redis_zset_max_ziplist_entries,redis_zset_max_ziplist_value,redis_hll_sparse_max_bytes,redis_hz,redis_active_defrag_ignore_bytes,redis_lua_time_limit,redis_resource,redis_replicas,redis_active_defrag_running,redis_allocator_frag_bytes,redis_allocator_frag_ratio,redis_allocator_rss_ratio,redis_aof_base_size_bytes,redis_aof_buffer_length,redis_aof_current_rewrite_duration_sec,redis_aof_delayed_fsync,redis_aof_enabled,redis_aof_last_bgrewrite_status,redis_aof_last_cow_size_bytes,redis_aof_last_rewrite_duration_sec,redis_aof_last_write_status,redis_aof_pending_bio_fsync,redis_aof_pending_rewrite,redis_aof_rewrite_in_progress,redis_aof_rewrite_scheduled,redis_blocked_clients,redis_client_recent_max_input_buffer_bytes,redis_client_recent_max_output_buffer_bytes,redis_clients_in_timeout_table,redis_cluster_connections,redis_cluster_enabled,redis_config_io_threads,redis_config_maxclients,redis_connected_clients,redis_connected_slaves,redis_connections_received_total,redis_cpu_sys_children_seconds_total,redis_cpu_sys_main_thread_seconds_total,redis_cpu_sys_seconds_total,redis_cpu_user_children_seconds_total,redis_cpu_user_main_thread_seconds_total,redis_cpu_user_seconds_total,redis_defrag_hits,redis_defrag_key_hits,redis_defrag_key_misses,redis_defrag_misses,redis_dump_payload_sanitizations,redis_evicted_keys_total,redis_expired_keys_total,redis_expired_stale_percentage,redis_expired_time_cap_reached_total,redis_exporter_last_scrape_connect_time_seconds,redis_exporter_last_scrape_duration_seconds,redis_exporter_last_scrape_error,redis_exporter_scrape_duration_seconds_sum,redis_exporter_scrape_duration_seconds_count,redis_exporter_scrapes_total,redis_io_threaded_reads_processed,redis_io_threaded_writes_processed,redis_io_threads_active,redis_keyspace_hits_total,redis_keyspace_misses_total,redis_last_key_groups_scrape_duration_milliseconds,redis_last_slow_execution_duration_seconds,redis_latest_fork_seconds,redis_lazyfree_pending_objects,redis_loading_dump_file,redis_master_repl_offset,redis_mem_clients_normal,redis_mem_clients_slaves,redis_mem_fragmentation_ratio,redis_mem_not_counted_for_eviction_bytes,redis_memory_used_lua_bytes,redis_memory_used_overhead_bytes,redis_memory_used_scripts_bytes,redis_memory_used_startup_bytes,redis_migrate_cached_sockets_total,redis_module_fork_in_progress,redis_module_fork_last_cow_size,redis_number_of_cached_scripts,redis_process_id,redis_pubsub_channels,redis_pubsub_patterns,redis_rdb_bgsave_in_progress,redis_rdb_changes_since_last_save,redis_rdb_current_bgsave_duration_sec,redis_rdb_last_bgsave_duration_sec,redis_rdb_last_bgsave_status,redis_rejected_connections_total,redis_repl_backlog_first_byte_offset,redis_repl_backlog_history_bytes,redis_repl_backlog_is_active,redis_replica_partial_resync_accepted,redis_replica_partial_resync_denied,redis_replica_resyncs_full,redis_second_repl_offset,redis_slave_expires_tracked_keys,redis_slowlog_last_id,redis_slowlog_length,redis_target_scrape_request_errors_total,redis_total_error_replies,redis_total_reads_processed,redis_total_writes_processed,redis_tracking_clients,redis_tracking_total_items,redis_tracking_total_keys,redis_tracking_total_prefixes,redis_unexpected_error_replies,redis_up,redis_uptime_in_seconds
1,94.0,71.0,79039.0,157.0,160,4,4446,volatile-ttl,12,97590,3756,4,769,998,0,647,219,91,8128,87,220,6366,15,1,0.0,415229.33,1.0,1.05,1.26,0.0,-1.0,0.0,1.0,1.0,7.34,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97590.0,1.0,0.0,6.0,0.17,3.24,3.3,1.43,2.1,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,164.98,15117.0,15117.0,0.0,0.0,0.0,52379.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.05,2560.0,31744.0,1.1,184.0,5.56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,138326.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,271897.0,271891.0,0.0,0.0,0.0,0.0,0.0,1.0,85.33
2,95.0,74.0,76991.0,157.0,101,6,752,allkeys-random,4,61687,466,2,760,360,2,1022,221,301,2544,87,237,4581,11,1,0.0,381706.67,1.0,1.04,1.3,0.0,-1.0,0.0,1.0,1.0,8.97,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6826.67,0.0,0.0,0.0,0.0,1.0,61687.0,1.0,0.0,4.0,0.24,3.18,3.23,1.39,2.17,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,165.0,15120.0,15120.0,0.0,0.0,0.0,47175.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,12544.0,0.0,1.05,2560.0,31744.0,9.18,184.0,3.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,224027.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,266718.0,266714.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0
3,95.0,70.0,73407.0,157.0,278,9,3021,volatile-ttl,19,6956,650,3,543,746,2,427,155,946,9459,52,365,2338,9,1,0.0,383797.33,1.0,1.05,1.27,0.0,-1.0,0.0,1.0,1.0,7.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6956.0,1.0,0.0,4.0,0.24,3.08,3.14,1.4,2.31,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,165.02,15123.0,15123.0,0.0,0.0,0.0,43927.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.06,2560.0,31744.0,6.15,184.0,706472.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.35,-1.0,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,263450.0,263446.0,0.0,0.0,0.0,0.0,0.0,1.0,129.0
4,101.0,67.0,73727.0,154.0,375,7,4018,allkeys-random,11,99828,698,1,1019,926,2,891,879,482,1532,35,249,5778,12,1,0.0,390778.67,1.0,1.03,1.28,0.0,-1.0,0.0,1.0,1.0,7.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99828.0,1.0,0.0,4.0,0.18,2.95,3.0,1.57,2.19,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,165.04,15126.0,15126.0,0.0,0.0,0.0,38380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,2560.0,31744.0,1.17,184.0,6.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,257944.0,257940.0,0.0,0.0,0.0,0.0,0.0,1.0,108.0
5,95.0,77.0,75967.0,158.0,311,2,728,allkeys-lfu,15,60703,7866,1,883,451,1,595,191,125,3553,10,239,1795,14,1,0.0,381658.67,1.0,1.05,1.28,0.0,-1.0,0.0,1.0,1.0,7.38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60703.0,1.0,0.0,4.0,0.14,3.15,3.2,1.27,2.14,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,165.06,15129.0,15129.0,0.0,0.0,0.0,56820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,2560.0,31744.0,9.17,184.0,3.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.67,-1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,276260.0,276256.0,0.0,0.0,0.0,0.0,0.0,1.0,114.0
6,108.0,74.0,84863.0,162.0,263,9,359,volatile-ttl,5,70023,128,3,426,676,0,457,182,823,2493,14,386,7981,4,1,0.0,409226.67,1.0,1.05,1.23,0.0,-1.0,0.0,1.0,1.0,8.22,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6826.67,0.0,0.0,0.0,0.0,1.0,70023.0,1.0,0.0,9.67,0.22,3.02,3.06,1.47,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,165.11,15138.67,15138.67,0.0,0.0,0.0,44109.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,12544.0,0.0,1.05,2560.0,31744.0,9.97,184.0,4.52,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,293551.0,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,263693.33,263683.67,0.0,0.0,0.0,0.0,0.0,1.0,87.0
7,114.0,79.0,112383.0,184.0,197,7,9985,allkeys-lru,3,61049,7566,2,719,601,0,451,250,760,9908,44,191,5085,2,1,0.0,391346.67,1.0,1.05,2.85,0.0,0.67,0.0,1.0,1.0,6.25,5.67,1.0,0.0,0.0,0.33,0.0,0.0,6826.67,0.0,0.0,0.0,0.0,1.0,61049.0,1.33,0.0,6.33,0.13,3.5,3.54,1.08,2.2,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,165.35,15148.33,15148.33,0.0,0.0,0.0,52441.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13485.33,0.0,1.05,2560.0,31744.0,9.06,184.0,3.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.16,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,266101.0,266095.0,0.0,0.0,0.0,0.0,0.0,1.0,116.67
8,93.0,76.0,83903.0,158.0,194,9,661,allkeys-random,8,46149,958,2,570,467,2,797,945,276,3995,72,413,1949,8,1,0.0,394504.0,1.0,1.04,1.25,0.0,-1.0,0.0,1.0,1.0,7.29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,46149.0,1.0,0.0,6.33,0.17,3.23,3.29,1.5,2.3,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,169.45,15158.33,15158.33,0.0,0.0,0.0,47079.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.05,2560.0,31744.0,8.38,184.0,2.94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,222161.0,-1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,266630.67,266624.33,0.0,0.0,0.0,0.0,0.0,1.0,102.0
9,100.0,72.0,79487.0,159.0,480,10,6026,allkeys-random,4,57370,221,4,308,649,2,827,982,966,7745,50,452,6608,30,1,0.0,413568.0,1.0,1.05,1.23,0.0,-1.0,0.0,1.0,1.0,7.29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6826.67,0.0,0.0,0.0,0.0,1.0,57370.0,1.0,0.0,11.33,0.19,3.2,3.28,1.35,2.24,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,169.52,15173.33,15173.33,0.0,0.0,0.0,55385.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.05,2560.0,31744.0,9.17,184.0,3.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,253874.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,274963.67,274952.33,0.0,0.0,0.0,0.0,0.0,1.0,102.0
10,93.0,74.0,94783.0,165.0,239,4,7694,volatile-ttl,9,86892,6791,5,932,266,0,885,502,935,5237,28,241,5415,6,1,0.0,411474.67,1.0,1.03,1.23,0.0,-1.0,0.0,1.0,1.0,7.67,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,86892.0,1.0,0.0,4.0,0.22,3.3,3.41,1.46,2.02,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,169.55,15181.0,15181.0,0.0,0.0,0.0,51109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,2560.0,31744.0,1.07,184.0,5.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,169738.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,270585.0,270581.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0
